-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 

Change union formation.|----|Alterar a formação do grupo.|----|Cambia la formación de la unidad.

Change union members.|----|Alterar membros do grupo.|----|Cambia los personajes que pertenecen a la unidad.

Disband union and change units to reserve member status.|----|Dissolver o grupo e colocar seus membros na reserva.|----|Disuelve la unidad y traslada a sus miembros a la reserva.

Select unit to view status.|----|Selecione um personagem para ver seu status.|----|Selecciona el personaje cuyo estado quieres consultar.

This slot is empty.|----|Essa posição está vazia.|----|Esta posición está vacía.

Disbanding the union will change the attached units to reserve member status.|----|Ao dissolver o grupo seus membros serão colocados na reserva.|----|Al disolver la unidad, sus miembros pasarán a la reserva. Esta posición está vacía.

Select a formation for the union.|----|Selecione uma formação para o grupo.|----|Selecciona una formación para esta unidad.

Select unit to confirm status.|----|Selecione o personagem para confirmar seu status.|----|Selecciona al personaje cuyo estado quieres confirmar.

Choose a union leader.|----|Escolher um líder para o grupo.|----|Asigna un líder a la unidad.

Choose a unit for position 2.|----|Escolher um personagem para a posição 2.|----|Asigna un personaje a la posición n.º 2.

Choose a unit for position 3.|----|Escolher um personagem para a posição 3.|----|Asigna un personaje a la posición n.º 3.

Choose a unit for position 4.|----|Escolher um personagem para a posição 4.|----|Asigna un personaje a la posición n.º 4.

Choose a unit for position 5.|----|Escolher um personagem para a posição 5.|----|Asigna un personaje a la posición n.º 5.

Select union to change order.|----|Selecione um grupo para alterar sua ordem.|----|Selecciona la unidad cuyo orden deseas cambiar.

Select position to move this union.|----|Selecione a posição onde será colocado esse grupo.|----|Selecciona la posición en la que deseas colocar la unidad.

This unit cannot be selected because the maximum leader capacity per battle has already been reached.|----|Não é possível selecionar esse personagem porque já foi alcançado o número máximo de líderes por batalha.|----|No puedes seleccionar este personaje porque ya has alcanzado el número máximo de líderes por batalla.

This unit cannot be selected because the maximum unit capacity per battle has already been reached.|----|Não é possível selecionar esse personagem porque já foi alcançado o número máximo de líderes por batalha.|----|No puedes seleccionar este personaje porque ya has alcanzado el número máximo de personajes por batalla.

This unit must be in a union.|----|Esse personagem deve estar em um grupo.|----|Este personaje debe formar parte de una unidad.

Skip the positioning of the specified number's unit.|----|Continuar sem designar nenhum personagem à posição especificada.|----|Continúa sin asignar ningún personaje a la posición especificada.

Change equipment.|----|Alterar equipamento.|----|Cambia el equipo de tus personajes.

View equipment.|----|Ver equipamento.|----|Muestra el equipo del personaje.

View learned arts.|----|Ver artes aprendidas.|----|Muestra las artes que has adquirido.

View inventory.|----|Ver inventário.|----|Muestra los objetos del inventario.

View details of accepted tasks.|----|Ver detalhes das missões aceitas.|----|Muestra los datos de las misiones aceptadas.

Check Mr. Diggs's status.|----|Ver status do Mr. Diggs.|----|Muestra el estado del señor Garras.

Select slot to save to.|----|Selecione uma posição para salvar.|----|Selecciona la posición en la que deseas guardar.

Select data to load.|----|Selecione os dados que deseja carregar.|----|Selecciona los datos que deseas cargar.

There is insufficient space on the storage device. New data cannot be created.|----|Não há espaço suficiente no dispositivo de armazenamento. Não é possível criar novos dados.|----|No hay espacio suficiente en el dispositivo de almacenamiento. No se pueden crear datos nuevos.

Save progress.|----|Salva o progresso do jogo.|----|Guarda la partida actual.

You must sign in when starting the game in order to save.|----|Você deve fazer o login ao iniciar o jogo para poder salvar a partida.|----|Debes iniciar sesión al empezar a jugar para poder guardar la partida.

Adjust game settings.|----|Ajustar as configurações do jogo.|----|Ajusta la configuración del juego.

Sort in the default order.|----|Usar ordenação padrão.|----|Ordena la lista según el orden predeterminado.

Sort by level.|----|Ordenar por nível.|----|Ordena la lista por nivel.

Sort by size.|----|Ordenar por tamanho.|----|Ordena la lista por tamaño.

Sort by attack power [ATK].|----|Ordenar por poder de ataque [ATQ].|----|Ordena la lista por poder físico (PF).

Sort by mystic power [MYS].|----|Ordenar por poder místico [MIS].|----|Ordena la lista por poder místico (PM).

Sort by physical defense [DEF].|----|Ordenar por defesa física [DEF].|----|Ordena la lista por defensa física (DF).

Sort by mystic defense [M. DEF].|----|Ordenar por defesa mística [DEF M.].|----|Ordena la lista por defensa mística (DM).

Sort by physical evasion [EVA].|----|Ordenar por evasão física [EVA].|----|Ordena la lista por evasión física (EF).

Sort by mystic evasion [M. EVA].|----|Ordenar por evasão mística [EVA M.].|----|Ordena la lista por evasión mística (EM).

Sort by max HP.|----|Ordenar por max PV.|----|Ordena la lista por PV máximos.

Sort by max AP.|----|Ordenar por max PA.|----|Ordena la lista por PA máximos.

Sort by AP bonus.|----|Ordenar por bônus de PA.|----|Ordena la lista por bonificación de PA.

Sort by Strength bonus.|----|Ordenar por bônus de força.|----|Ordena la lista por bonificación de fuerza.

Sort by Intellect bonus.|----|Ordenar por bônus de inteligência.|----|Ordena la lista por bonificación de inteligencia.

Sort by Speed bonus.|----|Ordenar por bônus de velocidade.|----|Ordena la lista por bonificación de velocidad.

Sort by number held.|----|Ordenar pelo número disponível.|----|Ordena la lista por número disponible.

Change the order of members to the default order.|----|Modificar a ordem dos membros para a ordem padrão.|----|Devuelve los personajes al orden predeterminado.

Sort members by HP.|----|Ordenar membros por PV.|----|Ordena los personajes según sus PV.

Sort members by AP.|----|Ordenar membros por PA.|----|Ordena los personajes según sus PA.

Sort members by strength [STR].|----|Ordenar membros por força [FOR].|----|Ordena los personajes según su fuerza.

Sort members by intellect [INT].|----|Ordenar membros por inteligência [INT].|----|Ordena los personajes según su inteligencia.

Sort members by speed [SPD].|----|Ordenar membros por velocidade [VLC].|----|Ordena los personajes según su velocidad.

Sort members by attack power [ATK].|----|Ordenar membros por poder de ataque [ATQ].|----|Ordena los personajes según su poder físico (PF).

Sort members by mystic power [MYS].|----|Ordenar membros poder místico [MIS].|----|Ordena los personajes según su poder místico (PM).

Sort members by physical defense [DEF].|----|Ordenar membros por defesa física [DEF].|----|Ordena los personajes según su defensa física (DF).

Sort members by mystic defense [M. DEF].|----|Ordenar membros por defesa mística [DEF M.].|----|Ordena los personajes según su defensa mística (DM).

Sort by selling price.|----|Ordenar por preço de venda.|----|Ordena la lista por precio de venta.

Sort by disassembly cost.|----|Ordenar por custo de desmontagem.|----|Ordena la lista por coste para desmontar.

Sort by purchase price.|----|Ordenar por preço de compra.|----|Ordena la lista por precio de compra.

Sort by creation cost.|----|Ordenar por custo de criação.|----|Ordena la lista por coste de creación.

Sort members by AP bonus.|----|Ordenar membros por bônus de PA.|----|Ordena los personajes según su bonificación de PA.

Sort members by recruitment cost.|----|Ordenar membros por custo de recrutamento.|----|Ordena los personajes según su coste de reclutamiento.

Set screen brightness level.|----|Define o nível de brilho da tela.|----|Ajusta el nivel de brillo.

Set subtitle settings.|----|Define as configurações de legendas.|----|Activa o desactiva los subtítulos.

Change settings for the navigation map. Fixed indicates fixed orientation. Set to Rotate, the map will move to match the direction Rush is facing.|----|Altera as configurações para o mapa de navegação. Fixo indica orientação fixa. Definido para girar, o mapa vai se mover para a direção em que o Rush estiver olhando.|----|Ajusta la configuración del minimapa. Si seleccionas «Fijo», su orientación permanecerá constante; si seleccionas «Giratorio», el mapa se moverá según la dirección en la que mire Rush.

Set main volume.|----|Ajusta o volume principal.|----|Ajusta el volumen general.

Set the volume for background music. This does not affect the background music in the event scenes.|----|Ajusta o volume da música de fundo. Essa opção não afeta o volume da música de fundo nas cenas de eventos.|----|Ajusta el volumen de la música de fondo. Esta opción no afecta al volumen de la música en las secuencias animadas.

Set the volume for sound effects. This does not affect the sound effects in the event scenes.|----|Ajusta o volume dos efeitos sonoros. Essa opção não afeta o volume dos efeitos sonoros nas cenas de eventos.|----|Ajusta el volumen de los efectos de sonido. Esta opción no afecta al volumen de las secuencias animadas.

Set the volume for spoken dialogue. This does not affect the voices in the event scenes.|----|Ajusta o volume dos diálogos. Essa opção não afeta o volume das vozes nas cenas de eventos.|----|Ajusta el volumen de los diálogos. Esta opción no afecta al volumen de las secuencias animadas.

Set the horizontal axis control of the camera. \nNormal\n will turn the camera in the same direction the right stick is pressed, while \nInverse\n will do the opposite.|----|Define o controle do eixo horizontal da câmera.\nNormal\nvai virar a câmera na mesma direção em que o direcional direito foi pressionado, enquanto\nInvertido\nvai virar na direção contrária.|----|Ajusta el control del eje horizontal de la cámara. Si eliges «\nNormal\n», la cámara girará en la dirección en la que muevas el stick derecho; si eliges «\nInvertido\n», girará en la dirección contraria.

Set the vertical axis control of the camera. \nNormal\n will turn the camera in the same direction the right stick is pressed, while \nInverse\n will do the opposite.|----|Define o controle do eixo vertical da câmera.\nNormal\nvai virar a câmera na mesma direção em que o direcional direito foi pressionado, enquanto\nInvertido\nvai virar na direção contrária.|----|Ajusta el control del eje vertical de la cámara. Si eliges «\nNormal\n», la cámara girará en la dirección en la que muevas el stick derecho; si eliges «\nInvertido\n», girará en la dirección contraria.

Set camera sensitivity.|----|Define a sensibilidade da câmera.|----|Ajusta la sensibilidad de los controles de la cámara.

Enable first-person view.|----|Habilita a visão em primeira pessoa.|----|Activa la vista en primera persona.

Set the horizontal axis control of the first-person camera. \nNormal\n will move the camera in the same direction the right stick is pressed, while \nInverse\n will do the opposite.|----|Define o controle do eixo horizontal da câmera em primeira pessoa.\nNormal\nvai virar a câmera na mesma direção em que o direcional direito foi pressionado, enquanto\nInvertido\nvai virar na direção contrária.|----|Ajusta el control del eje horizontal de la cámara. Si eliges «\nNormal\n», la cámara girará en la dirección en la que muevas el stick derecho; si eliges «\nInvertido\n», girará en la dirección contraria.

Set the vertical axis control of the first-person camera. \nNormal\n will move the camera in the same direction the right stick is pressed, while \nInverse\n will do the opposite.|----|Define o controle do eixo vertical da câmera em primeira pessoa.\nNormal\nai virar a câmera na mesma direção em que o direcional direito foi pressionado, enquanto\nInvertido\nvai virar na direção contrária.|----|Ajusta el control del eje vertical de la cámara. Si eliges «\nNormal\n», la cámara girará en la dirección en la que muevas el stick derecho; si eliges «\nInvertido\n», girará en la dirección contraria.

Set first-person camera sensitivity.|----|Define a sensibilidade da câmera em primeira pessoa.|----|Ajusta la sensibilidad de los controles de la cámara.

Set the camera to automatically follow Rush. When set to \nNo\n, the player will be able to adjust the camera manually.|----|Faz a câmera seguir automaticamente os movimentos do Rush. Quando definido para\nNão\n, o jogador vai ser capaz de ajustar a câmera manualmente.|----|Hace que la cámara siga automáticamente los movimientos de Rush. Si eliges «\nNo\n», podrás ajustar tú mismo el ángulo de la cámara.

Set the way Critical Triggers are launched when on the offense. Set to Auto, the player does not need to press a button; Triggers will occur randomly.|----|Define a maneira como os movimentos críticos serão ativados durante a fase ofensiva. Se definido em «Automático» o jogador não precisa pressionar nenhum botão; os movimentos irão ocorrer randomicamente.|----|Determina cómo se activan los movimientos maestros durante la fase ofensiva. Si eliges «Automático», se activarán de forma aleatoria sin que tengas que pulsar ningún botón.

Set the way Critical Triggers are launched when on the defense. Set to Auto, the player does not need to press a button; Triggers will occur randomly.|----|Define a maneira como os movimentos críticos serão ativados durante a fase ofensiva. Se definido em «Automático» o jogador não precisa pressionar nenhum botão; os movimentos irão ocorrer randomicamente.|----|Determina cómo se activan los movimientos maestros durante la fase defensiva. Si eliges «Automático», se activarán de forma aleatoria sin que tengas que pulsar ningún botón.

Display a warning if entered battle commands will cancel Deadlock.|----|Exibe um aviso cada vez que um comando de batalha vai cancelar um Embate.|----|Muestra un aviso cada vez que seleccione una orden de batalla que obligue a una unidad a abandonar un duelo.

Set controller vibration. To use the vibration function, the main system settings must be set to allow this.|----|Define a vibração do controle. Para usar a função vibrar, as configurações gerais do sistema devem estar ativadas.|----|Ajusta la vibración del mando. Esta opción no funcionará si la vibración está desactivada en la configuración general del Sistema.

Reset to the default settings.|----|Reestabelece a configuração padrão.|----|Restablece la configuración predeterminada.

Exit Config Menu.|----|Sair do menu de configuração.|----|Abandona el menú de configuración.

Set battle result warning for taking apart captured monsters.|----|Ativa ou desativa os avisos para converter monstros capturados em componentes na janela de resultados da batalha.|----|Activa o desactiva los avisos para convertir monstruos en componentes en la pantalla de resultados de la batalla.

Select the guild task you have completed to receive a reward.|----|Selecione a tarefa da guilda que foi completada para receber uma recompensa.|----|Selecciona la prueba que has cumplido para recibir tu recompensa.

Select a guild task to view its details.|----|Selecione uma tarefa da guilda para obter mais informações.|----|Selecciona una prueba para obtener más información.

Select a leader to join the party.|----|Selecione o líder que deseja incorporar ao grupo.|----|Selecciona el líder que quieres incorporar al grupo.

Not enough funds for this leader join the party.|----|Não há dinheiro suficiente para incorporar esse líder ao grupo.|----|No tienes dinero suficiente para incorporar este líder a tu grupo.

Select a leader to remove from the party.|----|Selecione o líder que deseja para remover do grupo.|----|Selecciona el líder al que deseas despedir del grupo.

This leader cannot be removed from the party.|----|Esse líder não pode ser removido do grupo.|----|No puedes despedir a este líder. Sustituye a uno de los miembros actuales del grupo por este personaje.

The units will become reserve members.|----|Os membros do grupo irão para a reserva. |----|Los personajes pasarán a la reserva.

This Athlumian Soldier cannot be removed from the party at this time.|----|Esse soldado não pode ser removido do grupo nesse momento.|----|No puedes despedir a este soldado en este momento.

Select an Athlumian Soldier to join the party.|----|Selecione o soldado que deseja incorporar ao grupo.|----|Selecciona el soldado que deseas incorporar al grupo.

Select an Athlumian Soldier to remove from the party.|----|Selecione o soldado que deseja remover do grupo.|----|Selecciona el soldado al que deseas despedir del grupo.

A leader cannot be removed from the party at this time.|----|Não é possível remover nenhum líder do grupo nesse momento.|----|No puedes despedir a ningún líder en este momento.

The guild task has been completed! Your reward awaits!|----|A missão da guilda foi concluída! Sua recompensa o aguarda!|----|¡Has cumplido la prueba! ¡Te espera una recompensa en el gremio!

Canceling Deadlock will result in no party defenses.|----|Se cancelar o Embate o grupo ficará indefeso.|----|Si abandonas el duelo, el grupo quedará indefenso.

Select Art to learn.|----|Selecione a arte que deseja aprender.|----|Elige el arte que deseas aprender.

Choose which items to obtain, or split captured monsters.|----|Escolha quais itens deseja obter, ou se deseja converter os monstros capturados em componentes.|----|Comprueba el botín que has obtenido o convierte monstruos en componentes.

Monsters that are intact can be sold for a fair amount of money.|----|Monstros intactos podem ser vendidos para conseguir dinheiro.|----|Puedes vender a tus monstruos para conseguir dinero... siempre que estén intactos.

You can grab items for yourself, or give them to others.|----|Você pode ficar com itens para si mesmo, ou pode dá-los para os outros.|----|Puedes quedarte con los objetos que desees o dárselos a los demás.

Obtained treasure!|----|Você conseguiu um tesouro!|----|¡Has conseguido un tesoro!

Battle Action dummy help|----|Battle Action dummy help|----|Ayuda: acciones de combate

An art unique to David. Uses the\r\nKellendros to fire a mighty blast,\r\ndealing heavy damage to a unit.|----|Uma técnica especial de David. Use o\r\nKellendros para lançar uma poderosa explosão,\r\ncausando grande dano a um personagem.|----|Una técnica especial de David que lanza\r\nuna ola de energía y causa daños graves\r\na un oponente.

An art unique to Rush. An enemy\r\nunion is hit with a stunning barrage\r\nof blows, dealing heavy damage.|----|Uma técnica especial de Rush. Atinge um grupo\r\n inimigo com uma tempestade de golpes\r\ncausando grande dano.|----|Una técnica especial de Rush que asesta\r\nuna lluvia torrencial de golpes y produce\r\ndaños graves a una unidad.

Attack with the equipped weapon.|----|Ataca com a arma equipada.|----|Ataca con el arma asignada.

A one-handed art.\r\nA fierce slash at the enemy's legs.\r\nDeals light damage to one unit.|----|Uma técnica de mão única.\r\nUm golpe cortante feroz nas pernas do inimigo.\r\nCausa dano leve a um personagem.|----|Una mano. Un enérgico corte dirigido\r\na las piernas que causa daños leves\r\na un oponente.

The art Knee Splitter,\r\nmodified for speed.\r\nDeals light damage to one unit.|----|A técnica Desmembrador,\r\nmodificada para mais velocidade.\r\nCausa dano leve a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Segador» que causa\r\ndaños leves a un oponente.

The art Knee Splitter,\r\nheavily modified for speed.\r\nDeals light damage to one unit.|----|A técnica Desmembrador,\r\naltamente modificada para mais velocidade.\r\nCausa dano leve a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Segador» que causa\r\ndaños leves a un oponente.

The art Knee Splitter,\r\nmodified for strength.\r\nDeals light damage to one unit.|----|A técnica Desmembrador,\r\nmodificada para mais força.\r\nCausa dano leve a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Segador» que causa\r\ndaños leves a un oponente.

The art Knee Splitter,\r\nheavily modified for strength.\r\nDeals light damage to one unit.|----|A técnica Desmembrador,\r\naltamente modificada para mais força.\r\nCausa dano leve a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Segador» que causa\r\ndaños leves a un oponente.

A one-handed art.\r\nA quick, stabbing blow that deals\r\nmoderate damage to one unit.|----|Uma técnica de mão única.\r\nUm golpe rápido e penetrante que causa\r\ndano moderado a um personagem.|----|Una mano. Una estocada rápida y mortífera\r\nque causa daños moderados a un oponente.

The art Cutting Lunge,\r\nmodified for speed.\r\nDeals moderate damage to one unit.|----|A técnica da Estocada,\r\nmodificada para mais velocidade.\r\nCausa dano moderado a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Turbodardo» que causa\r\ndaños moderados a un oponente.

The art Cutting Lunge,\r\nheavily modified for speed.\r\nDeals moderate damage to one unit.|----|A técnica da Estocada,\r\naltamente modificada para mais velocidade.\r\nCausa dano moderado a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Turbodardo» que causa\r\ndaños moderados a un oponente.

The art Cutting Lunge,\r\nmodified for strength.\r\nDeals moderate damage to one unit.|----|A técnica da Estocada,\r\nmodificada para mais força.\r\nCausa dano moderado a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Turbodardo» que causa\r\ndaños moderados a un oponente.

The art Cutting Lunge,\r\nheavily modified for strength.\r\nDeals moderate damage to one unit.|----|A técnica da Estocada,\r\naltamente modificada para mais força.\r\nCausa dano moderado a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Turbodardo» que causa\r\ndaños moderados a un oponente.

A one-handed art.\r\nA slash so fast it's almost invisible.\r\nDeals heavy damage to one unit.|----|Uma técnica de mão única.\r\nUm golpe tão rápido que é quase invisível.\r\nCausa grande dano a um personagem.|----|Una mano. Un corte tan rápido\r\nque resulta casi imposible de parar.\r\nCausa daños graves a un oponente.

The art Blue Streak,\r\nmodified for speed.\r\nDeals heavy damage to one unit.|----|A técnica da Centelha Azul,\r\nmodificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Centellazul» que causa\r\ndaños graves a un oponente.

The art Blue Streak,\r\nheavily modified for speed.\r\nDeals heavy damage to one unit.|----|A técnica da Centelha Azul,\r\naltamente modificada para mais velocidade.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Centellazul» que causa\r\ndaños graves a un oponente.

The art Blue Streak,\r\nmodified for strength.\r\nDeals heavy damage to one unit.|----|A técnica da Centelha Azul,\r\nmodificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Centellazul» que causa\r\ndaños graves a un oponente.

The art Blue Streak,\r\nheavily modified for strength.\r\nDeals heavy damage to one unit.|----|A técnica da Centelha Azul,\r\naltamente modificada para mais força.\r\nCausa grande dano a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Centellazul» que causa\r\ndaños graves a un oponente.

A one-handed art. Two slashes,\r\ndelivered in the blink of an eye.\r\nDeals substantial damage to one unit.|----|Uma técnica de mão única. Dois golpes,\r\nlançados num piscar de olhos.\r\nCausa dano substancial a um personagem.|----|Una mano. Realiza dos cortes rápidos\r\ncomo un relámpago que pueden causar\r\ndaños serios a un oponente.

The art Double Slash,\r\nmodified for speed.\r\nDeals substantial damage to one unit.|----|A técnica do Golpe Duplo,\r\nmodificada para mais velocidade.\r\nCausa dano substancial a um personagem.|----|Una versión mejorada y más rápida\r\nde la técnica «Bisectriz» que causa\r\ndaños serios a un oponente.

The art Double Slash,\r\nheavily modified for speed.\r\nDeals substantial damage to one unit.|----|A técnica do Golpe Duplo,\r\naltamente modificada para mais velocidade.\r\nCausa dano substancial a um personagem.|----|Una versión extremadamente rápida\r\nde la técnica «Bisectriz» que causa\r\ndaños serios a un oponente.

The art Double Slash,\r\nmodified for strength.\r\nDeals substantial damage to one unit.|----|A técnica do Golpe Duplo,\r\nmodificada para mais força.\r\nCausa dano substancial a um personagem.|----|Una versión mejorada y más potente\r\nde la técnica «Bisectriz» que causa\r\ndaños serios a un oponente.

The art Double Slash,\r\nheavily modified for strength.\r\nDeals substantial damage to one unit.|----|A técnica do Golpe Duplo,\r\naltamente modificada para mais força.\r\nCausa dano substancial a um personagem.|----|Una versión extremadamente potente\r\nde la técnica «Bisectriz» que causa\r\ndaños serios a un oponente.

A one-handed sword art. Two fierce\r\nslashes, which crisscross the foe.\r\nDeals heavy damage to one unit.|----|Uma técnica de espada de mão única. Dois\r\ncortes ferozes, que se entrecruzam no inimigo.\r\nCausa grande dano a um personagem.|----|Una mano. Esculpe una cruz en el cuerpo\r\ndel rival con dos feroces cortes de espada,\r\ncausándole graves daños.

